Title,Artist,Suno URL,Lyrics,Detected Language,no,Style Tags,Liked,Public,Liked Catalog,In Playlist,Created At,Duration,Audio URL,Video URL,Cover Art URL,Model,Play Count,Upvote Count,Workspace,Track ID,Source File,SoundCloud URL,Downloaded,Notes,Downloaded Match,Downloaded Match Score,Downloaded Filename,Downloaded File Path
Before I became you (Best),Lyric Poetry by Hooley,https://suno.com/song/46c0ef1b-baf5-45ec-98f1-bb5158833a8e,"I used to see myself as a cowboy 
 riding the range , yeah that’s the thing that I’d do
 Sitting tall all alone in the saddle, 
 But that’s before I became you 
 
 I used to sail the seas in my mind like a pirate 
 Wind at my back, days bursting bright and brand new
 Youth and lust steered my course and I followed
 But that’s before I became you
 
 I used to be a bronco bull rider 
 I’d match their rage, ‘cause that’s my temperament too 
 The animal in me completely took over 
 But that’s before I became you 
 
 I used to dance in the ring like a fighter
 There was fire in my eyes even though they were blue
 I’d conquer my foe or I’d die trying
 But that was before I became you
 
 Maybe all those were merely just daydreams 
 Yet each in their way finally came true
 When I surrendered all of myself so completely
 And letting you in I became you",English,Yes,,True,False,Yes,Yes,2026-01-08T13:14:22.919Z,165.96,https://cdn1.suno.ai/46c0ef1b-baf5-45ec-98f1-bb5158833a8e.mp3,,https://cdn2.suno.ai/a436368e-1faf-4d24-bd1d-cb7bf45a0585.jpeg,chirp-crow,14,1,Country,46c0ef1b-baf5-45ec-98f1-bb5158833a8e,Country-Before_I_became_you_(Best).txt,,Yes,,Yes,1.0,Before I became you (Best).mp3,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/Before I became you (Best).mp3
Charlie Was A Happy Boy,Lyric Poetry by Hooley,https://suno.com/song/2ad67e42-e3c5-49f9-a179-807af9e9fed2,"Charlie was a happy little boy
 He loved his mom and dad
 His sister Fern was so much fun
 She’s the best friend that he had
 
 Fern and Charlie shared a room
 In their home at the top of the stairs
 At night they’d snuggle in their bed
 And sleep away their cares
 
 Charlie woke up everyday
 And jumped out in the sun
 He felt joy just to be alive
 And each new day was fun
 
 All day they played together
 And when the night had come
 Fern and Charlie climbed back up to bed
 And dreamed of so much yet to come
 
 Charlie was a happy little boy
 He loved his mom and dad
 His sister Fern was so much fun
 She’s the best friend that he had",English,Yes,Disney,True,False,Yes,No,2025-01-13T18:03:00.731Z,131.8,https://cdn1.suno.ai/2ad67e42-e3c5-49f9-a179-807af9e9fed2.mp3,,https://cdn2.suno.ai/image_2ad67e42-e3c5-49f9-a179-807af9e9fed2.jpeg,chirp-v4,4,1,Kid's Songs,2ad67e42-e3c5-49f9-a179-807af9e9fed2,Kid's_Songs-Charlie_Was_A_Happy_Boy.txt,,Yes,,Yes,1.0,Charlie Was A Happy Boy.mp3,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/MP3 Versions/Kid's Songs/Charlie Was A Happy Boy.mp3
I Got My Books,Lyric Poetry by Hooley,https://suno.com/song/0880bab3-6878-4489-ba54-2b584ab95ee9,"I got my books 
 I got my books to read 
 I got my books 
 Yeah my name is Marie 
 
 I got my books 
 The books with bright new ideas 
 I got mybooks 
 The books with images that always please 
 
 I got my books 
 My mama reads to me 
 I got my books 
 With all the pictures to see 
 
 I got my books 
 I love to have them read
 I got my books 
 They’re all around my bed 
 
 I got my books 
 They make me giggle with delight 
 I got my books
 I want ‘em red to me just right
 
 I got my books
 I hear their stories in my papa‘s voice
 I got my books
 My mama always gives me a choice
 
 I got my books
 I get to pick out which one gets red
 I got my books
 I see their pictures in my head
 
 I got my books
 Their stories make me so happy
 I got ny books
 They pave the road to what I can be
 
 I got my books 
 I got my books to read 
 I got my books 
 Yeah my name is Marie",English,Yes,"female voice, playful Disney, hip hop",True,False,Yes,No,2025-02-25T17:14:40.815Z,167.8,https://cdn1.suno.ai/0880bab3-6878-4489-ba54-2b584ab95ee9.mp3,,https://cdn2.suno.ai/0880bab3-6878-4489-ba54-2b584ab95ee9_242c98f8.jpeg,chirp-v4,18,1,Kid's Songs,0880bab3-6878-4489-ba54-2b584ab95ee9,Kid's_Songs-I_Got_My_Books.txt,,Yes,,Yes,1.0,I Got My Books.wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/Albums/Just For Fun/I Got My Books.wav
Our River Song,Lyric Poetry by Hooley,https://suno.com/song/2955cfea-22a8-4804-9bf6-2fa51ff3dd0c,"Sometimes when I lie in bed
 I remember days gone bye
 I think of floating on a raft
 With sunbeams dancing on my eyes
 
 I think of Fern and Charlie
 Of their happy smiles and the fun
 We all had together
 Floating rivers sparkling in the sun
 
 We’d ride the thrilling waves all day
 We’d cheer as our spirits soared
 And when the evening settled in
 We’d find campsites to explore 
 
 We’d pitch our tents and build a fire
 We’d cook dinner and have a feast
 Fern and Charlie would put on a play
 Then we’d sit around together 
 Sharing one another’s treats
 
 We’d watch the stars rise in the sky
 We’d sing an old campfire song
  I was with Fern and Charlie then
 That's right where I belonged
 
 I imagine this and so much more
 When I recall the happiness
 We shared together on our trips
 Down the rivers of the West
 
 You can ask for all that glitters
 You can wish that you had more
 But I’ve got all a man can ask for
 I’ve got a family I adore",English,Yes,country,True,False,Yes,No,2025-01-22T23:56:17.239Z,168.84,https://cdn1.suno.ai/2955cfea-22a8-4804-9bf6-2fa51ff3dd0c.mp3,,https://cdn2.suno.ai/2955cfea-22a8-4804-9bf6-2fa51ff3dd0c_aa6e09b6.jpeg,chirp-v4,10,1,Kid's Songs,2955cfea-22a8-4804-9bf6-2fa51ff3dd0c,Kid's_Songs-Our_River_Song.txt,,Yes,,Yes,1.0,Our River Song.wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/WAV Versions/Music/Unknown Artist/Unknown Album/Our River Song.wav
A Song for Our Times,Lyric Poetry by Hooley,https://suno.com/song/a0a13dec-138a-40c0-b664-7d04dfff76fd,"I used to live my life with my head in the clouds 
 Warring clouds of white and blue
 Sometimes I’d look out from the top of the world 
 Sometimes it all shrank right out of view
 
 But now I’ve lived life long enough 
 To understand I was always dazed 
 By so much I couldn’t understand 
 About the way clouds at war behaved 
 
 We can’t hold back love to sort it out
 We can’t wait around to pick out our favorite Saints
 We’ve got to open up our hearts right now to all
 Let's start building bridges now and not restraints
 
 Though time’s not my only friend
 It’s helped to open up my eyes
 I see above my clouds at last
 And their contradictions that hypnotize
 
 Life‘s not worn me out, but it’s worn me smooth
 I regard all without casting blame
 I see all life’s hues glowing at once
 All that's worthy and all the shame
 
 We can’t hold back love to sort it out
 We can’t wait to pick out our favorite Saints
 We’ve got to open up our hearts right now to all
 Let's start building bridges now and not restraints",English,Yes,pop,True,True,Yes,Yes,2025-01-31T02:29:56.760Z,174.88,https://cdn1.suno.ai/a0a13dec-138a-40c0-b664-7d04dfff76fd.mp3,https://cdn1.suno.ai/a0a13dec-138a-40c0-b664-7d04dfff76fd.mp4,https://cdn2.suno.ai/a0a13dec-138a-40c0-b664-7d04dfff76fd_5868a4d0.jpeg,chirp-v4,79,3,Lyric Poetry,a0a13dec-138a-40c0-b664-7d04dfff76fd,Lyric_Poetry-A_Song_for_Our_Times.txt,,Yes,,Yes,1.0,A Song for Our Times.wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/WAV Versions/Music/Unknown Artist/Unknown Album/A Song for Our Times.wav
A Voice In The Wilderness (Deep House 1),Lyric Poetry by Hooley,https://suno.com/song/41fb3330-f18e-4a80-b3f5-da5c4d0bb8fe,"What could be more pathetic
 What could be harder to understand
 Than a man locked inside himself
 Unable to execute on his plans
 
 You made me want to build a fortress
 You made me want to fight on all fronts
 You made me want to be all I could be
 And brush aside life’s affronts
 
 But soon you saw all of my weaknesses
 All I had yet to overcome
 I can’t blame you for pulling back from them
 Once you learned where I was coming from 
 
 But with you I finally took action
 Struggling I made my mark
 I overcame all that was broken within me
 And fought my way out of the dark
 
 Now I’ve found my voice and my balance
 Now I see what’s around me as brand new
 I hear that voice crying in the wilderness 
 And what it says, I know is true",English,Yes,Deep House,True,True,Yes,No,2025-04-05T17:22:20.786Z,175.04,https://cdn1.suno.ai/41fb3330-f18e-4a80-b3f5-da5c4d0bb8fe.mp3,https://cdn1.suno.ai/41fb3330-f18e-4a80-b3f5-da5c4d0bb8fe.mp4,https://cdn2.suno.ai/image_41fb3330-f18e-4a80-b3f5-da5c4d0bb8fe.jpeg,chirp-v4,16,1,Lyric Poetry,41fb3330-f18e-4a80-b3f5-da5c4d0bb8fe,Lyric_Poetry-A_Voice_In_The_Wilderness_(Deep_House_1).txt,,Yes,,Yes,1.0,A Voice In The Wilderness (Deep House 1).wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/Published on Sound Cloud/A Voice In The Wilderness (Deep House 1).wav
A Voice In The Wilderness (Deep House 2),Lyric Poetry by Hooley,https://suno.com/song/9f70944f-ced2-4e06-af95-d0d91ffef02b,"What could be more pathetic
 What could be harder to understand
 Than a man locked inside himself
 Unable to execute on his plans
 
 She made me want to build a fortress
 She made me want to fight on every fronts
 She made me want to be all I could be
 And brush aside life’s affronts
 
 But soon she saw all of my weaknesses
 All I had yet to overcome
 I can’t blame her for pulling back from them
 Once she learned where I was coming from 
 
 But with her I finally took action
 Struggling I made my mark
 I overcame all that was broken within me
 And fought my way out of the dark
 
 Now I’ve found my voice and my balance
 Now I see what’s around me as brand new
 I hear that voice crying in the wilderness 
 And what it says, I know is true",English,Yes,Deep House,True,True,Yes,No,2025-04-05T17:25:24.781Z,239.96,https://cdn1.suno.ai/9f70944f-ced2-4e06-af95-d0d91ffef02b.mp3,https://cdn1.suno.ai/9f70944f-ced2-4e06-af95-d0d91ffef02b.mp4,https://cdn2.suno.ai/image_9f70944f-ced2-4e06-af95-d0d91ffef02b.jpeg,chirp-v4,29,1,Lyric Poetry,9f70944f-ced2-4e06-af95-d0d91ffef02b,Lyric_Poetry-A_Voice_In_The_Wilderness_(Deep_House_2).txt,,Yes,,Yes,1.0,A Voice In The Wilderness (Deep House 2).wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/Published on Sound Cloud/A Voice In The Wilderness (Deep House 2).wav
A Voice In The Wilderness (Deep House 3),Lyric Poetry by Hooley,https://suno.com/song/4b7b377f-83d8-4074-85fd-86f334007af1,"What could be more pathetic
 What could be harder to understand
 Than a man locked inside himself
 Unable to execute on his plans
 
 You made me want to build a fortress
 You made me want to fight on all fronts
 You made me want to be all I could be
 And brush aside life’s affronts
 
 But soon you saw all of my weaknesses
 All I had yet to overcome
 I can’t blame you for pulling back from them
 Once you learned where I was coming from
 
 But with you I finally took action
 Struggling I made my mark
 I overcame all that was broken within me
 And fought my way out of the dark
 
 Now I’ve found my voice and my balance
 Now I see what’s around me as brand new
 I hear that voice crying in the wilderness 
 And what it says, I know is true
 
 But soon you saw all of my weaknesses
 All I had yet to overcome
 I can’t blame you for pulling back from them
 Once you learned where I was coming from
 
 But with you I finally took action
 Struggling I made my mark
 I overcame all that was broken within me
 And fought my way out of the dark
 
 Now I’ve found my voice and my balance
 Now I see what’s around me as brand new
 I hear that voice crying in the wilderness 
 And what it says, I know is true
 And what it says, I know is true",English,Yes,Deep House,True,True,Yes,No,2025-04-06T15:52:16.820Z,288.999979166666,https://cdn1.suno.ai/4b7b377f-83d8-4074-85fd-86f334007af1.mp3,https://cdn1.suno.ai/4b7b377f-83d8-4074-85fd-86f334007af1.mp4,https://cdn2.suno.ai/image_70ce91f5-5b18-49eb-80a8-097369437fe2.jpeg,chirp-v4,12,2,Lyric Poetry,4b7b377f-83d8-4074-85fd-86f334007af1,Lyric_Poetry-A_Voice_In_The_Wilderness_(Deep_House_3).txt,,Yes,,Yes,1.0,A Voice In The Wilderness (Deep House 3).wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/Published on Sound Cloud/A Voice In The Wilderness (Deep House 3).wav
A Voice In The Wilderness (Electronic 1),Lyric Poetry by Hooley,https://suno.com/song/fc93cc44-41ba-4522-9f26-376508d7467f,"What could be more pathetic
 What could be harder to understand
 Than a man locked inside himself
 Unable to execute on his plans
 
 You made me want to build a fortress
 You made me want to fight on all fronts
 You made me want to be all I could be
 And brush aside life’s affronts
 
 But soon you saw all of my weaknesses
 All I had yet to overcome
 I can’t blame you for pulling back from them
 Once you learned where I was coming from
 
 But with you I finally took action
 Struggling I made my mark
 I overcame all that was broken within me
 And fought my way out of the dark
 
 Now I’ve found my voice and my balance
 Now I see what’s around me as brand new
 I hear that voice crying in the wilderness 
 And what it says, I know is true
 
 But soon you saw all of my weaknesses
 All I had yet to overcome
 I can’t blame you for pulling back from them
 Once you learned where I was coming from
 
 But with you I finally took action
 Struggling I made my mark
 I overcame all that was broken within me
 And fought my way out of the dark
 
 Now I’ve found my voice and my balance
 Now I see what’s around me as brand new
 I hear that voice crying in the wilderness 
 And what it says, I know is true
 And what it says, I know is true",English,Yes,Deep House,True,True,Yes,No,2025-04-06T15:57:19.236Z,301.599979166666,https://cdn1.suno.ai/fc93cc44-41ba-4522-9f26-376508d7467f.mp3,https://cdn1.suno.ai/fc93cc44-41ba-4522-9f26-376508d7467f.mp4,https://cdn2.suno.ai/image_069e30a7-85ee-429e-b659-88a78db4ab05.jpeg,chirp-v4,8,1,Lyric Poetry,fc93cc44-41ba-4522-9f26-376508d7467f,Lyric_Poetry-A_Voice_In_The_Wilderness_(Electronic_1).txt,,Yes,,Yes,1.0,A Voice In The Wilderness (Electronic 1).wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/Published on Sound Cloud/A Voice In The Wilderness (Electronic 1).wav
Alive As Wind And Fire,Lyric Poetry by Hooley,https://suno.com/song/eca32a69-4a7c-4a78-a8a5-a15f01d334fb,"[Verse]
 I've got a wild race horse mind. No one can keep up with it. I just try to keep it together because it's never going to fit. 
 
 I don't know what it's going to do. I don't know where it's going to go. It just gallops on forever. I just hang on and go with the flow. 
 
 [Chorus]
 I’ve never known what’s the answer, I just hold on for my dear life. I love the view from atop of the mountain, so I put up with the terror and the strife. 
 
 Peculiar as I am, crazy as I seem, I'm alive as the wind and fire, I'm wide awake in my life's dream. 
 
 [Verse]
 One bright new idea is so shiny. I think, yeah, that's what I should do. But then it's off to another vision more beguiling, more brand new. 
 
 Am I climbing Jacob's ladder? All my visions seem so swell. Or am I just riding on a freight train? One that’s headed straight for hell. 
 
 I don't know where we’ll get to. It's not like I have any real choice. I don't know how to control it. I only hear its voice. 
 
 Chorus]
 I’ve never known what’s the answer, I just hold on for my dear life. I love the view from atop of the mountain, so I put up with the terror and the strife. 
 
 Peculiar as I am, crazy as I seem, I'm alive as the wind and fire, I'm wide awake in my life's dream. 
 
 [Verse]
 I guess I’ll ride it out. It’s taking me this far. The folks on the TV say what we should be, but is that what we really are? 
 
 Do they know where we’re really going? More than this grass fire in my mind? Do they know the right direction? Or are they all just flying blind? 
 
 [Chorus]
 I’ve never known what’s the answer, I just hold on for my dear life. I love the view from atop of the mountain, so I put up with the terror and the strife. 
 
 Peculiar as I am, crazy as I seem, I'm alive as the wind and fire, I'm wide awake in my life's dream.",English,Yes,"Pop, exciting",True,False,Yes,No,2025-07-24T12:09:46.914Z,206.68,https://cdn1.suno.ai/eca32a69-4a7c-4a78-a8a5-a15f01d334fb.mp3,,https://cdn2.suno.ai/image_eca32a69-4a7c-4a78-a8a5-a15f01d334fb.jpeg,chirp-auk,7,1,Lyric Poetry,eca32a69-4a7c-4a78-a8a5-a15f01d334fb,Lyric_Poetry-Alive_As_Wind_And_Fire.txt,,Yes,,Yes,1.0,Alive As Wind And Fire.wav,/Users/breck_seiniger/Documents/Songs by Hooley the Poet/WAV Versions/Music/Unknown Artist/Unknown Album/Alive As Wind And Fire.wav
